cut_mm,scan,side,ok,n_outlets,single_outlet,n_slots,n_slots_with_deletable
0.6,812,left,True,6,False,8,4
0.6,812,right,True,3,False,4,4
0.6,813,right,True,2,False,4,4
0.6,825,left,True,5,False,4,0
0.6,825,right,True,3,False,4,4
0.6,830,right,True,2,False,2,2
0.6,832,left,True,6,False,8,8
0.6,844,left,True,5,False,8,6
0.6,847,left,True,4,False,6,3
0.6,869,right,True,2,False,4,4
0.6,890,right,True,3,False,4,4
0.6,907,left,True,7,False,2,2
0.6,908,left,True,7,False,4,4
0.6,928,left,True,5,False,6,4
0.6,928,right,True,3,False,4,4
0.6,935,left,True,3,False,6,0
0.6,937,left,True,6,False,6,6
0.6,947,left,True,5,False,4,4
0.6,958,left,True,5,False,2,2
0.6,980,right,True,2,False,4,4
0.6,984,left,True,7,False,6,6
0.6,984,right,True,3,False,4,4
0.6,985,left,True,5,False,4,2
0.6,997,right,True,3,False,4,4
0.75,3,left,True,3,False,4,1
0.75,3,right,True,1,True,4,0
0.75,14,left,True,4,False,4,0
0.75,42,right,True,2,False,4,4
0.75,43,left,True,7,False,8,6
0.75,45,left,True,6,False,6,4
0.75,52,left,True,7,False,8,8
0.75,69,left,True,4,False,6,2
0.75,69,right,True,2,False,4,4
0.75,85,right,True,1,True,4,0
0.75,87,right,True,1,True,4,0
0.75,88,right,True,1,True,4,0
0.75,95,left,True,6,False,4,4
0.75,95,right,True,1,True,4,0
0.75,102,left,True,6,False,6,3
0.75,112,right,True,1,True,4,0
0.75,125,right,True,3,False,4,4
0.75,129,left,True,6,False,5,5
0.75,138,left,True,5,False,4,2
0.75,139,right,True,2,False,4,4
0.75,151,left,True,7,False,8,8
0.75,196,left,True,3,False,2,2
0.75,211,left,True,2,False,4,0
0.75,211,right,True,1,True,4,0
0.75,244,left,True,3,False,2,0
0.75,252,left,True,3,False,2,0
0.75,272,left,True,3,False,0,0
0.75,272,right,True,3,False,4,4
0.75,273,left,True,6,False,8,6
0.75,274,left,True,4,False,4,0
0.75,280,left,True,6,False,2,0
0.75,306,left,True,6,False,6,4
0.75,324,left,True,4,False,5,3
0.75,324,right,True,2,False,2,2
0.75,328,left,True,4,False,4,2
0.75,335,left,True,4,False,7,2
0.75,335,right,True,2,False,4,4
0.75,341,right,True,2,False,4,4
0.75,363,right,True,1,True,2,0
0.75,368,left,True,5,False,8,2
0.75,406,left,True,4,False,2,0
0.75,423,right,True,1,True,4,0
0.75,448,right,True,2,False,4,4
0.75,461,left,True,5,False,5,5
0.75,465,right,True,2,False,4,4
0.75,466,left,True,4,False,4,0
0.75,466,right,True,1,True,4,0
0.75,473,left,True,5,False,2,2
0.75,473,right,True,1,True,4,0
0.75,488,left,True,3,False,3,0
0.75,496,right,True,1,True,4,0
0.75,509,left,True,6,False,4,4
0.75,512,right,True,2,False,4,4
0.75,544,left,True,4,False,4,2
0.75,544,right,True,1,True,4,0
0.75,546,right,True,1,True,2,0
0.75,549,left,True,4,False,2,1
0.75,569,left,True,4,False,4,0
0.75,580,left,True,5,False,4,4
0.75,593,left,True,3,False,2,0
0.75,616,right,True,2,False,4,4
0.75,618,left,True,6,False,6,6
0.75,621,left,True,8,False,8,4
0.75,621,right,True,1,True,4,0
0.75,625,right,True,3,False,4,4
0.75,659,left,True,6,False,3,1
0.75,661,left,True,5,False,4,4
0.75,667,left,True,3,False,6,1
0.75,669,left,True,6,False,3,3
0.75,675,right,True,2,False,4,4
0.75,683,right,True,2,False,4,4
0.75,690,left,True,5,False,4,4
0.75,698,left,True,5,False,6,3
0.75,725,right,True,1,True,4,0
0.75,727,left,True,3,False,2,0
0.75,738,left,True,2,False,2,0
0.75,751,left,True,3,False,6,0
0.75,754,left,True,5,False,6,4
0.75,757,left,True,6,False,8,6
0.75,758,left,True,5,False,6,4
0.75,768,right,True,2,False,1,1
0.75,789,left,True,4,False,2,0
0.75,806,left,True,4,False,6,2
0.75,808,left,True,4,False,6,4
0.75,812,left,True,6,False,8,4
0.75,812,right,True,3,False,4,4
0.75,813,right,True,1,True,4,0
0.75,825,left,True,5,False,4,0
0.75,825,right,True,1,True,4,0
0.75,830,right,True,1,True,2,0
0.75,832,left,True,5,False,8,4
0.75,844,left,True,5,False,8,6
0.75,847,left,True,4,False,6,3
0.75,869,right,True,2,False,4,4
0.75,890,right,True,1,True,4,0
0.75,907,left,True,5,False,2,2
0.75,908,left,True,6,False,4,4
0.75,928,left,True,5,False,6,4
0.75,928,right,True,3,False,4,4
0.75,935,left,True,3,False,6,0
0.75,937,left,True,6,False,6,6
0.75,947,left,True,5,False,4,4
0.75,958,left,True,5,False,2,2
0.75,980,right,True,2,False,4,4
0.75,984,left,True,7,False,6,6
0.75,984,right,True,3,False,4,4
0.75,985,left,True,5,False,4,2
0.75,997,right,True,2,False,4,4
1.0,3,left,True,2,False,0,0
1.0,3,right,True,1,True,4,0
1.0,14,left,True,3,False,0,0
1.0,42,right,True,1,True,4,0
1.0,43,left,True,3,False,6,2
1.0,45,left,True,3,False,2,1
1.0,52,left,True,3,False,5,0
1.0,69,left,True,2,False,2,0
1.0,69,right,True,2,False,4,4
1.0,85,right,True,1,True,1,0
1.0,87,right,True,1,True,3,0
1.0,88,right,True,1,True,2,0
1.0,95,left,True,2,False,0,0
1.0,95,right,True,1,True,4,0
1.0,102,left,True,5,False,4,1
1.0,112,right,True,1,True,3,0
1.0,125,right,True,1,True,4,0
1.0,129,left,True,3,False,3,0
1.0,138,left,True,2,False,4,0
1.0,139,right,True,1,True,4,0
1.0,151,left,True,4,False,8,4
1.0,196,left,True,1,True,2,0
1.0,211,left,True,2,False,2,0
1.0,211,right,True,1,True,4,0
1.0,244,left,True,2,False,0,0
1.0,252,left,True,3,False,0,0
1.0,272,left,True,2,False,0,0
1.0,272,right,True,1,True,4,0
1.0,273,left,True,3,False,4,0
1.0,274,left,True,2,False,3,0
1.0,280,left,True,2,False,0,0
1.0,306,left,True,3,False,4,1
1.0,324,left,True,2,False,2,0
1.0,324,right,True,1,True,2,0
1.0,328,left,True,2,False,2,0
1.0,335,left,True,3,False,5,2
1.0,335,right,True,1,True,4,0
1.0,341,right,True,2,False,4,4
1.0,363,right,True,1,True,0,0
1.0,368,left,True,2,False,2,0
1.0,406,left,True,2,False,0,0
1.0,423,right,True,1,True,4,0
1.0,448,right,True,1,True,4,0
1.0,461,left,True,3,False,2,2
1.0,465,right,True,1,True,1,0
1.0,466,left,True,2,False,4,0
1.0,466,right,True,1,True,4,0
1.0,473,left,True,4,False,1,1
1.0,473,right,True,1,True,4,0
1.0,488,left,True,3,False,0,0
1.0,496,right,True,1,True,2,0
1.0,509,left,True,3,False,3,2
1.0,512,right,True,1,True,4,0
1.0,544,left,True,2,False,1,0
1.0,544,right,True,1,True,4,0
1.0,546,right,True,1,True,0,0
1.0,549,left,True,1,True,0,0
1.0,569,left,True,3,False,0,0
1.0,580,left,True,2,False,0,0
1.0,593,left,True,2,False,0,0
1.0,616,right,True,1,True,4,0
1.0,618,left,True,3,False,2,2
1.0,621,left,True,3,False,4,0
1.0,621,right,True,1,True,4,0
1.0,625,right,True,1,True,4,0
1.0,659,left,True,3,False,0,0
1.0,661,left,True,3,False,1,0
1.0,667,left,True,2,False,2,0
1.0,669,left,True,3,False,2,0
1.0,675,right,True,2,False,4,4
1.0,683,right,True,2,False,4,4
1.0,690,left,True,2,False,1,0
1.0,698,left,True,4,False,2,2
1.0,725,right,True,1,True,1,0
1.0,727,left,True,1,True,0,0
1.0,738,left,True,2,False,0,0
1.0,751,left,True,3,False,1,0
1.0,754,left,True,4,False,5,0
1.0,757,left,True,3,False,5,2
1.0,758,left,True,2,False,0,0
1.0,768,right,True,1,True,1,0
1.0,789,left,True,2,False,0,0
1.0,806,left,True,2,False,4,0
1.0,808,left,True,2,False,2,0
1.0,812,left,True,5,False,4,0
1.0,812,right,True,2,False,4,4
1.0,813,right,True,1,True,4,0
1.0,825,left,True,3,False,4,0
1.0,825,right,True,1,True,4,0
1.0,830,right,True,1,True,0,0
1.0,832,left,True,2,False,4,0
1.0,844,left,True,3,False,4,0
1.0,847,left,True,3,False,8,1
1.0,869,right,True,1,True,4,0
1.0,890,right,True,1,True,4,0
1.0,907,left,True,3,False,1,0
1.0,908,left,True,2,False,1,0
1.0,928,left,True,3,False,0,0
1.0,928,right,True,1,True,4,0
1.0,935,left,True,2,False,2,0
1.0,937,left,True,1,True,2,0
1.0,947,left,True,4,False,2,0
1.0,958,left,True,3,False,0,0
1.0,980,right,True,2,False,4,4
1.0,984,left,True,3,False,3,0
1.0,984,right,True,2,False,4,4
1.0,985,left,True,3,False,2,0
1.0,997,right,True,1,True,4,0
